               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012903,            0.008958,          0.00062018,             0.55678,             0.71953,             0.62828,             0.39618,            0.030456,            0.020031,            0.011254,               7e-05,               7e-05,             0.09937
                   1,            0.013006,           0.0090035,          0.00046756,             0.55405,             0.71131,             0.62552,             0.39529,            0.030371,            0.020122,            0.011217,             0.00015,             0.00015,             0.09865
                   2,            0.013258,           0.0087578,          0.00088035,             0.55005,             0.72708,             0.62894,              0.3994,            0.030222,            0.020168,            0.011189,             0.00023,             0.00023,             0.09793
                   3,            0.013259,           0.0095546,          0.00050264,             0.59712,             0.66073,             0.62448,             0.39515,            0.030306,            0.020282,            0.011168,             0.00031,             0.00031,             0.09721
                   4,            0.012947,            0.008878,          0.00066924,             0.53068,             0.74967,             0.62466,             0.39315,            0.030505,            0.020354,            0.011149,          0.00038999,          0.00038999,             0.09649
                   5,            0.012814,           0.0089479,          0.00057797,             0.57395,             0.69568,             0.62171,             0.39557,            0.030323,            0.020504,            0.011133,          0.00046999,          0.00046999,             0.09577
                   6,            0.013604,           0.0088199,          0.00086501,             0.53665,             0.73421,             0.61999,             0.39119,            0.030412,            0.020587,            0.011227,          0.00054998,          0.00054998,             0.09505
                   7,            0.012528,           0.0087475,          0.00042203,             0.53771,             0.74126,             0.62169,              0.3919,            0.030497,             0.02071,            0.011159,          0.00062997,          0.00062997,             0.09433
                   8,             0.01221,           0.0086742,          0.00074924,             0.53839,             0.72943,               0.622,             0.39052,            0.030492,            0.020739,            0.011106,          0.00070996,          0.00070996,             0.09361
                   9,            0.012567,           0.0081673,          0.00048123,             0.54243,             0.72353,             0.61866,              0.3861,            0.030818,            0.020979,            0.011143,          0.00078994,          0.00078994,             0.09289
                  10,            0.013219,           0.0093291,          0.00081215,             0.54683,             0.72162,             0.61612,             0.38564,            0.030853,            0.020984,            0.011163,          0.00086992,          0.00086992,             0.09217
                  11,            0.013231,           0.0090707,          0.00095093,             0.53324,             0.74173,              0.6151,              0.3882,            0.030769,            0.021211,            0.011243,           0.0009499,           0.0009499,             0.09145
                  12,            0.013563,            0.009425,          0.00047552,             0.52703,             0.72068,             0.61102,             0.38468,            0.030599,            0.021553,            0.011259,           0.0010299,           0.0010299,             0.09073
                  13,            0.012419,           0.0092379,          0.00074853,             0.56042,             0.66645,             0.60819,             0.38737,            0.030482,            0.021506,            0.011272,           0.0011098,           0.0011098,             0.09001
                  14,            0.012514,           0.0094271,          0.00064585,             0.52965,             0.73033,             0.61339,             0.38673,            0.030682,            0.021279,            0.011254,           0.0011898,           0.0011898,             0.08929
                  15,            0.012243,           0.0094013,          0.00044812,             0.53425,             0.72944,             0.61648,             0.39386,            0.030431,            0.020998,            0.011241,           0.0012698,           0.0012698,             0.08857
                  16,            0.012969,           0.0084989,          0.00053643,             0.54452,             0.71485,             0.61434,             0.38908,            0.030727,             0.02111,            0.011035,           0.0013497,           0.0013497,             0.08785
                  17,            0.012555,           0.0085768,          0.00058115,             0.54423,             0.73053,             0.61827,              0.3942,            0.030152,            0.020844,            0.011121,           0.0014296,           0.0014296,             0.08713
                  18,              0.0131,           0.0094833,          0.00055473,             0.54867,             0.71288,             0.61608,             0.38781,             0.03073,            0.020713,            0.011274,           0.0015096,           0.0015096,             0.08641
                  19,            0.013562,           0.0089949,          0.00064047,             0.55625,             0.69931,             0.61776,             0.39114,            0.030722,            0.020526,            0.011152,           0.0015895,           0.0015895,             0.08569
                  20,            0.012762,           0.0081227,          0.00052557,             0.53633,             0.71662,             0.61554,             0.38672,            0.030831,            0.020918,            0.011237,           0.0016694,           0.0016694,            0.084969
                  21,             0.01252,           0.0083682,          0.00049838,             0.55584,             0.67234,              0.6104,              0.3889,            0.030675,            0.021425,            0.011388,           0.0017493,           0.0017493,            0.084249
